student_id,fee_submission_date,day_of_month
14,3/4/2023,4
70,11/1/2022,1
85,4/26/2023,26
9,6/24/2022,24
30,3/24/2022,24
45,4/21/2023,21
72,11/13/2023,13
26,2/21/2022,21
42,5/15/2024,15
71,8/11/2022,11
18,5/3/2024,3
75,11/30/2024,30
28,2/25/2022,25
97,7/15/2024,15
86,2/28/2022,28
86,4/22/2024,22
24,3/11/2024,11
79,7/7/2023,7
42,8/23/2023,23
56,8/18/2022,18
30,2/21/2022,21
50,3/10/2023,10
88,12/6/2023,6
76,5/3/2024,3
90,12/27/2022,27
65,8/29/2022,29
27,12/25/2022,25
37,8/9/2022,9
51,12/29/2022,29
88,12/29/2022,29
35,1/27/2023,27
49,6/12/2022,12
21,4/16/2022,16
26,8/27/2023,27
49,9/9/2024,9
100,8/11/2023,11
15,1/31/2023,31
15,4/20/2022,20
3,8/31/2024,31
59,6/15/2024,15
83,4/12/2022,12
61,10/14/2024,14
13,11/13/2023,13
82,3/26/2024,26
100,12/28/2022,28
77,11/1/2022,1
58,2/2/2023,2
33,10/29/2022,29
35,6/7/2023,7
77,10/29/2024,29
83,2/21/2022,21
73,10/29/2022,29
3,5/3/2024,3
39,8/31/2023,31
60,8/13/2024,13
9,11/30/2024,30
27,4/26/2023,26
36,3/2/2024,2
69,9/21/2024,21
21,5/4/2022,4
35,7/27/2022,27
61,3/3/2023,3
33,8/16/2022,16
37,12/25/2022,25
35,12/3/2024,3
91,6/20/2023,20
36,6/29/2024,29
94,7/15/2024,15
29,7/17/2023,17
78,8/12/2024,12
74,3/4/2023,4
100,9/2/2023,2
14,2/2/2023,2
12,10/29/2022,29
54,2/15/2022,15
31,10/14/2022,14
27,4/19/2022,19
60,1/5/2024,5
39,8/23/2023,23
6,7/27/2022,27
62,5/5/2024,5
68,11/2/2022,2
34,1/6/2024,6
73,9/30/2023,30
34,7/15/2024,15
72,7/24/2023,24
48,11/11/2023,11
3,8/23/2024,23
47,9/21/2024,21
71,3/3/2023,3
12,9/12/2024,12
86,2/11/2022,11
54,9/4/2024,4
54,6/23/2022,23
82,11/7/2024,7
12,6/12/2024,12
12,12/6/2024,6
78,7/29/2023,29
83,3/11/2024,11
36,2/21/2022,21
23,3/11/2024,11
11,9/11/2024,11
23,9/10/2022,10
41,4/12/2024,12
44,2/25/2022,25
64,6/24/2022,24
21,7/24/2023,24
67,11/18/2024,18
92,2/24/2022,24
2,3/7/2024,7
10,8/8/2022,8
38,11/2/2022,2
55,5/2/2024,2
72,10/8/2022,8
33,2/1/2023,1
45,3/7/2024,7
34,3/20/2024,20
31,6/12/2022,12
28,12/28/2022,28
10,6/23/2022,23
21,2/24/2022,24
87,3/30/2024,30
56,6/12/2024,12
2,1/6/2024,6
62,11/13/2022,13
32,7/20/2022,20
79,12/25/2022,25
7,5/15/2024,15
70,3/7/2022,7
56,11/1/2022,1
71,9/28/2022,28
11,8/12/2024,12
14,10/5/2023,5
43,4/19/2022,19
68,11/13/2022,13
56,4/3/2023,3
65,9/25/2024,25
20,10/21/2023,21
3,7/20/2022,20
30,10/8/2022,8
18,6/15/2024,15
50,11/20/2023,20
72,2/26/2024,26
10,7/28/2022,28
35,6/30/2022,30
60,6/23/2022,23
47,3/20/2024,20
34,1/23/2023,23
19,2/2/2023,2
63,7/20/2022,20
18,11/25/2023,25
20,12/16/2021,16
29,10/27/2023,27
69,12/6/2023,6
62,7/29/2023,29
56,5/1/2023,1
7,9/11/2024,11
62,6/7/2023,7
53,2/24/2022,24
88,8/11/2023,11
78,5/2/2023,2
53,6/15/2024,15
97,10/29/2024,29
54,10/29/2024,29
58,8/23/2023,23
36,12/30/2022,30
59,8/18/2022,18
61,7/26/2022,26
95,3/20/2024,20
64,10/13/2022,13
69,10/13/2022,13
62,5/29/2023,29
33,5/16/2023,16
73,5/28/2024,28
80,8/11/2023,11
8,10/29/2024,29
25,7/23/2022,23
69,1/27/2024,27
68,8/11/2023,11
58,10/8/2022,8
69,6/30/2022,30
84,12/13/2021,13
87,2/17/2022,17
35,7/28/2022,28
58,2/16/2023,16
9,12/29/2022,29
59,7/23/2022,23
27,5/4/2022,4
37,11/1/2022,1
98,5/1/2023,1
83,1/30/2024,30
1,1/27/2024,27
35,8/26/2023,26
30,4/12/2024,12
6,7/29/2023,29
93,6/27/2023,27
92,8/19/2022,19
32,10/26/2023,26
93,12/3/2022,3
56,1/5/2022,5
96,10/14/2024,14
77,5/4/2024,4
23,3/30/2024,30
70,10/27/2023,27
89,3/2/2024,2
22,7/20/2022,20
3,8/29/2022,29
63,12/27/2022,27
51,7/10/2024,10
97,10/4/2023,4
12,1/27/2023,27
30,1/17/2023,17
91,6/23/2022,23
48,12/29/2022,29
4,1/20/2024,20
55,4/17/2024,17
28,7/23/2022,23
65,2/26/2024,26
61,9/9/2024,9
26,9/6/2022,6
21,5/26/2023,26
62,10/14/2024,14
66,6/15/2024,15
15,12/6/2024,6
8,6/12/2024,12
9,3/30/2024,30
41,12/29/2023,29
14,5/8/2024,8
74,8/29/2022,29
12,5/2/2024,2
3,9/4/2024,4
68,1/27/2023,27
21,9/2/2023,2
86,3/11/2024,11
13,5/3/2024,3
81,1/27/2024,27
55,5/29/2023,29
11,4/1/2023,1
95,11/7/2024,7
84,2/21/2022,21
16,6/6/2023,6
54,11/20/2023,20
23,7/10/2024,10
99,1/10/2022,10
49,8/29/2022,29
37,9/30/2023,30
47,2/16/2023,16
4,5/28/2024,28
37,1/24/2023,24
90,7/6/2024,6
98,2/26/2023,26
24,10/27/2023,27
65,7/27/2022,27
35,1/6/2024,6
82,4/22/2024,22
77,1/27/2024,27
8,8/11/2022,11
73,7/10/2024,10
21,6/12/2024,12
87,12/6/2023,6
18,7/18/2024,18
21,10/5/2022,5
52,8/19/2022,19
14,5/3/2024,3
69,9/10/2022,10
96,7/14/2024,14
45,3/11/2024,11
69,4/16/2022,16
13,4/22/2023,22
40,2/2/2023,2
21,9/4/2024,4
12,5/4/2024,4
92,12/3/2024,3
67,6/27/2023,27
27,9/10/2022,10
43,10/5/2023,5
88,2/11/2022,11
37,4/21/2023,21
48,11/18/2024,18
55,7/29/2023,29
85,5/16/2023,16
80,12/27/2022,27
77,6/12/2024,12
29,8/23/2024,23
22,1/12/2023,12
84,8/9/2022,9
84,4/20/2022,20
88,7/10/2024,10
27,11/23/2024,23
54,12/16/2021,16
65,2/24/2022,24
59,5/1/2023,1
61,12/6/2023,6
9,4/20/2022,20
21,7/7/2023,7
60,12/12/2021,12
90,6/23/2022,23
40,4/21/2023,21
